N	Count	v2inv	v2inv_err	9gons	9gons_err	3gons	3gons_err	5gons	5gons_err	7gons	7gons_err	4gons	4gons_err	8gons	8gons_err	1gons	1gons_err	2gons	2gons_err	maxfv	maxfv_err	6gons	6gons_err
27	40397	0.597055474416417	0.0015322514603944369	0.6728717479020719	0.003933521951829496	3.6610639403916134	0.008733653217320362	1.9512092482115009	0.00668021800492728	1.1356041290194816	0.0050886319637396624	2.4509988365472686	0.0075495482646287795	0.8688268930861203	0.004465661246304304	10.461148105057307	0.010868589063939388	4.132955417481496	0.008849343215494078	15.144688962051637	0.01954351545735118	1.453053444562715	0.005818380963636642
28	40890	0.6194057226705796	0.0015547034006454202	0.6936903888481292	0.00395266516792179	3.7783565663976524	0.008827048371729162	2.0204940083149916	0.006726864636359163	1.1813157251161652	0.005215335553470793	2.530887747615554	0.00758484478227831	0.897505502567865	0.0045135101884739666	10.828588897040841	0.011009579809184069	4.264416727806309	0.00896576961276582	15.325629738322329	0.01962910097822791	1.4947909024211299	0.005812339278540924
29	41102	0.645412631988711	0.001576786662707979	0.71658313464065	0.004035175460906339	3.8931925453749208	0.008939146856296114	2.0759330446206996	0.006784022508034746	1.2122524451364898	0.005223602539304366	2.6164663520023357	0.007682258683582785	0.9303926816213323	0.004582639697240858	11.172327380662741	0.011132231926122471	4.417960196584108	0.009092769254592946	15.520047686243979	0.019823881828351014	1.5588049243345823	0.005947278025929569
30	40645	0.6700701193258704	0.0016296562534518961	0.7475950301390085	0.004140780962390357	4.027850904170255	0.00916188571749672	2.1470291548775986	0.006960828540071464	1.2507073440767622	0.0053695643796140245	2.6947472013777833	0.007890393630568041	0.9555418870709804	0.0046616977718554565	11.515733792594416	0.011474391910261608	4.563045885102719	0.0093803890032654	15.699323410013532	0.020242086088133715	1.5991142821995326	0.0060802430657532205
31	40542	0.6959079473138967	0.001663500809168024	0.7709289132257905	0.0042229381236401605	4.153914459079473	0.009271563176907346	2.209190469143111	0.007124989113596616	1.2851857333136008	0.005436702594348023	2.770558926545311	0.007991093313113885	0.9961768043017118	0.004757900675098274	11.881357604459573	0.0116356959471975	4.6872625918800255	0.009491095572430152	15.875117162448818	0.020502599989170908	1.6542104484238567	0.0061300974203459735
32	40996	0.7258208117865158	0.0016888205966288658	0.7984925358571568	0.004230017619535647	4.261513318372524	0.009295648221211154	2.2839301395258076	0.007153198888572235	1.3267879793150552	0.005483135260196586	2.857864181871402	0.008082199620732412	1.0214167235827885	0.004806473256541635	12.228510098546199	0.011617582543762123	4.835837642696848	0.009516974839408244	15.999146258171528	0.020279924780667726	1.6972143623768172	0.006215790081128978
33	40816	0.750030625245002	0.0017033694027391586	0.8206340650725206	0.004344476970845811	4.373774990199921	0.009505119000975566	2.337245197961584	0.00730298281173601	1.372329478635829	0.0055639027521489975	2.941983535868287	0.008218514589717844	1.0487798902391219	0.004865733944358635	12.579282634261075	0.011868706228888326	4.991522932183457	0.009648756603706026	16.149622696981577	0.020622839029189956	1.7479174833398667	0.0063499159256428335
34	40854	0.7728190630048465	0.001736178108534883	0.8397464140598228	0.004372614601799108	4.511357517011798	0.009682299233530181	2.418343369070348	0.007389384021149372	1.4105595535320898	0.0056848052475665335	3.0306457140059724	0.008331083691688605	1.0861604738826063	0.004959844865282547	12.923752876095364	0.012042523475216595	5.114285014931219	0.009829116294192168	16.31233171782445	0.020742644407384596	1.7922112889802713	0.006398727707000006
35	40828	0.7991880572156363	0.0017792699463325284	0.8624963260507494	0.004426938908596868	4.625379641422553	0.009733775736051114	2.489027138238464	0.007503979128429854	1.44792789262271	0.005768310652402585	3.1186685607916136	0.008447422379232156	1.1014009993141962	0.005035571536639005	13.262270990496718	0.012244773128177166	5.273831684138337	0.009965325361993717	16.507200940531007	0.02105977278301397	1.8520133241892818	0.006484765676487765
36	40744	0.8265204692715492	0.0017994314197011688	0.8869281366581583	0.004499838613464256	4.744551344983311	0.009892436387308716	2.5351708226978205	0.007567582611618015	1.4897899077164736	0.005879267779367488	3.1937954054584723	0.00856690165340069	1.1399224425682308	0.005128432914168673	13.619821323385038	0.012422620353774753	5.420356371490281	0.010080880250346749	16.60077557431769	0.021193531430141545	1.8988562733163166	0.006621294725179668
37	40722	0.8521131083934974	0.0018341197980539603	0.9166298315406906	0.004613268999019713	4.879450911055449	0.01002797469848236	2.621040223957566	0.007706434715270987	1.514856834143706	0.0058769959176411014	3.2673984578360593	0.008669725889369453	1.1692696822356465	0.005180032442402942	13.977113108393498	0.012570961866399609	5.545380875202593	0.010252925290057502	16.767521241589314	0.021438959234316973	1.9473994401060852	0.0067168584665165095
38	40722	0.8792237611119297	0.0018532302681737722	0.9429792249889495	0.0046107611259764035	4.988703894700653	0.010147044412264664	2.684912332400177	0.007809437062142419	1.5746034084769904	0.006003804371684298	3.341952752811748	0.008705474018316863	1.2005304258140563	0.005225135785554425	14.336844948676392	0.012776179009581102	5.681155149550611	0.01038968575194425	16.879426354304798	0.021185061725172757	2.0003437945091105	0.006778641605940945
39	40771	0.9053432586887739	0.001873587730040895	0.964435505629001	0.004707340590302625	5.106251992838047	0.010274123297164423	2.738392484854431	0.007862106192291345	1.601849353707292	0.006094207661697287	3.4393809325255695	0.008909936547207956	1.2367859507983616	0.005333874475687333	14.67857055259866	0.012872866951004992	5.834539255843614	0.010528952051104878	17.015452159623262	0.02148925138645139	2.054205194868902	0.0068909842957608726
40	40696	0.9335438372321604	0.0019065258958146354	0.9770984863377236	0.004740676121188317	5.241399646156871	0.01037505578370548	2.820670336150973	0.007995044605091232	1.6541183408688815	0.006160255695350376	3.5178395911146056	0.008995696216500749	1.267937880872813	0.005397240296984281	14.996215844309024	0.013094399592281938	5.976508747788481	0.010682415349667025	17.115687045409867	0.021593140072141647	2.1178494200904265	0.0069356464424172645
41	40827	0.9545643814142601	0.0019387832193855043	1.0168026061185	0.004827940032991013	5.374507066402136	0.010583891446389604	2.8787811987165357	0.008069406879972473	1.6952506919440566	0.006240644462564519	3.5996276973571413	0.008991035024372823	1.2959806010728194	0.005427051659714401	15.366742596810933	0.01318200958219584	6.104979547848238	0.010738592539952949	17.25850540083768	0.021652057149821193	2.1449286011707938	0.00706441551802201
42	40777	0.983041910881134	0.0019611082019809142	1.0360006866615985	0.004859463950916323	5.490791377492214	0.010594513837407133	2.941020673418839	0.008121030398446213	1.722662285111705	0.006283534995683538	3.688648012359909	0.0091791478044119	1.3263359246634132	0.005519312037618969	15.734924099369742	0.013289086937594398	6.236187066238321	0.010878165317744645	17.363293032837138	0.0218098512492206	2.190352404541776	0.007148395190918487
43	40584	1.0065419869899468	0.0019941695981887907	1.0528287009658979	0.004922055247477617	5.607948945397201	0.010761419003689526	3.0181598659570272	0.008252962433652866	1.7569485511531637	0.006335685962460421	3.7729893554109992	0.009284947676562879	1.3608811354228267	0.005570034353794497	16.078429923122414	0.013513091731798769	6.377735068007096	0.01096735724604921	17.48832052040213	0.02206584416813561	2.251897299428346	0.007195538179616778
44	40806	1.034645640347008	0.002008773417832599	1.091261089055531	0.005010552774389335	5.699872567759643	0.010814687417011314	3.0661912463853356	0.008347741914213586	1.7986080478361026	0.00641402497388913	3.852938293388227	0.009336331008548363	1.3970004411116013	0.005618208331686354	16.44027839043278	0.01357917621311011	6.548252707935108	0.011136618504567214	17.62846150075969	0.02213074191145758	2.2916972994167524	0.007255860302423748
45	41105	1.059877143899769	0.0020329033174815874	1.1088188784819366	0.005009680820771965	5.848266634229413	0.011012488853287428	3.1454810850261525	0.008375669500925215	1.844593115192799	0.006462870289028463	3.921639703199124	0.009447720634740975	1.4231358715484734	0.005696656147886123	16.782897457730204	0.01369813375084879	6.66529619267729	0.011197650421851462	17.724534728135264	0.02221288737399697	2.360588736163484	0.00736029184464614
46	40915	1.0843333740681902	0.002059392885021645	1.1304167175852378	0.005095452671963904	5.969571061957717	0.011121585876835162	3.203763900769889	0.00849834940391841	1.8799706709030917	0.006525107790794107	4.017084198949041	0.009574821542109885	1.4565073933765122	0.005729054266357888	17.138408896492727	0.01391783320310573	6.811022852254674	0.011345608916584567	17.82211902725162	0.022165354119776392	2.389685934253941	0.007429187526681916
47	41072	1.1132523373587846	0.002080974167028669	1.1633959875340865	0.005121570761316534	6.0827327619789635	0.011138459866462872	3.259446825087651	0.008600466348162012	1.9306096610829762	0.0066493267653527045	4.109368913128165	0.009645069418481637	1.4763098948188547	0.005814358885473964	17.479450720685627	0.013975683738569666	6.9654509154655235	0.011442852160019033	17.943172964550058	0.02227707765774588	2.441225165562914	0.00749278317566031
48	40968	1.1377965729349737	0.002100198413720443	1.1905145479398556	0.005182021133354867	6.183484670962702	0.011292399066855365	3.3467584456160906	0.00863405968257144	1.9606033977738724	0.00671607964738765	4.195835774262839	0.009743737170385127	1.506419644600664	0.005877944339556912	17.832186096465534	0.014155019013347711	7.103397773872291	0.011542835532211361	18.04144698301113	0.022460764621570407	2.4954842804139816	0.007569761398015886
49	41101	1.1647770127247512	0.0021267177541074004	1.2075131991922337	0.005254621127258836	6.3301136225395975	0.01134243947992825	3.4072893603561956	0.008720437852590631	1.9970317023916693	0.006738996374214491	4.275662392642515	0.009868054654370162	1.5422009196856523	0.005936996678341536	18.179776647770126	0.01429874291493308	7.223838836038053	0.01170757350567237	18.114936376243886	0.022474107910751266	2.556701783411596	0.0076177222461867875
50	40803	1.1892262823811974	0.0021515260455068925	1.225277553121094	0.0052750448839060165	6.446829889959072	0.011513529509017113	3.4790334044065387	0.008924036668190164	2.031394750386001	0.006801877178531137	4.352792686812244	0.009907617008564048	1.5714775874322966	0.005996516890846601	18.5185157954072	0.014477338708672054	7.3803396809058155	0.011769213773864631	18.222924784942283	0.022552852384629965	2.616719358870671	0.007740994055960466
51	40590	1.2159460458240947	0.0021919303405093463	1.25590046809559	0.005356350411153322	6.587188962798719	0.011662694784428518	3.525769894062577	0.008968488954537206	2.0821138211382113	0.006929561268957307	4.432027593003203	0.010081400880048318	1.6062084257206208	0.006087568015897382	18.875338753387535	0.014649219462649972	7.527839369302784	0.011924934703238388	18.355186006405518	0.022716855307645778	2.6485094850948507	0.007815060636454796
52	40750	1.2447484662576687	0.002208333478308826	1.2824539877300614	0.005409412527970273	6.6957300613496935	0.011714093324024673	3.590527607361963	0.009012302719337718	2.117325153374233	0.006973906229703658	4.522920245398773	0.010197436466295172	1.6448588957055215	0.006177443055430801	19.234993865030674	0.014783268936867917	7.657079754601227	0.012006848949200366	18.424466257668712	0.022918235446625572	2.697030674846626	0.007905251739066812
53	40717	1.2686285826558932	0.0022366073845847263	1.304860377729204	0.00546269978435705	6.817349018837341	0.011845260137525793	3.6772846722499204	0.009131330337311196	2.147186678782818	0.007036229864156279	4.592627158189454	0.010270032851089671	1.6614681828228994	0.006166001988971983	19.59803030675148	0.014986327511906103	7.802195643097478	0.012135081718596142	18.567551636908416	0.02306900092356831	2.7400839944003734	0.007896807338715827
54	40764	1.296247914826808	0.0022605399267838205	1.3330634873908351	0.005537536443331971	6.963202826022961	0.012002895073086462	3.7417574330291434	0.009166706437290659	2.195491119615347	0.007087726733653966	4.681557256402709	0.010299274015679108	1.6951476793248945	0.006270106007620664	19.940143263664016	0.015040918561076038	7.9149004023157685	0.012256295794435785	18.601094102639586	0.022949513582501153	2.782528701795702	0.00800992643362058
55	40939	1.3206355797650162	0.0022671276256408827	1.3573609516597864	0.005549288601749193	7.058110847846796	0.012054483123436106	3.796404406556096	0.009270783360258451	2.231051075991109	0.007165674921378477	4.767116930066685	0.010423362374613903	1.7238330198588143	0.006289153638691631	20.281662961967807	0.01516305074231866	8.087789149710545	0.012437678041431038	18.693226507731016	0.022960681922075447	2.853709177068321	0.00809935143418136
56	40844	1.351330672803839	0.0023061140944594387	1.3657819998041327	0.005593865838896075	7.200616981686417	0.012073175142869605	3.8617422387621194	0.009374049669043568	2.27925766330428	0.0072472844528987685	4.846366663402213	0.010538246798019483	1.759719909901087	0.006355595087433175	20.632210361374987	0.015268125268522236	8.224047595730095	0.012461034325247582	18.82396435216923	0.02293314900678486	2.9008911957692685	0.008142150040139141
57	40718	1.3776094110712707	0.002316801566437597	1.4019598212092932	0.005671950456508442	7.2987622181836045	0.012235752559587223	3.934279679748514	0.009439672446719165	2.3210128198830984	0.0073365352792739875	4.918144309641927	0.010601828996224798	1.7899454786580873	0.006412641720528996	20.99307431602731	0.015467166030871915	8.370204823419618	0.012672516994644934	18.894665749791248	0.02312942833740624	2.9491625325408912	0.008295500948773352
58	40939	1.4033806394880188	0.0023435138320363025	1.430811695449327	0.005768542627464966	7.455140575001832	0.012359523367902745	4.013776594445394	0.009535891048116169	2.3609272332006155	0.0073339553675703965	4.988299665355774	0.010612203138044033	1.8170448716382912	0.006428029823286945	21.34089743276582	0.015502867965577993	8.477857299885194	0.012611280416799889	18.962187645032852	0.023081449504327136	2.9992916290090132	0.008272898419061666
59	41203	1.4306361187292187	0.002352227309721321	1.4479770890469141	0.005752327788037317	7.540397543868165	0.012426599798990082	4.071038516612868	0.009532891898778095	2.393927626629129	0.007364165441520224	5.091498191879232	0.0107521387773303	1.8488944979734485	0.006484482226111018	21.682377496784216	0.01574086711591493	8.647210154600392	0.012824797765160354	19.04142902215858	0.02315574344317992	3.066087420818872	0.008356700602401415
60	40955	1.4512696862409962	0.0023751846034002527	1.4709315101941154	0.005762222690475797	7.667049200341839	0.012580059717221983	4.1323159565376635	0.009684243166815685	2.447320229520205	0.0074711002331749364	5.168233426931999	0.010806655346377097	1.8774508607007692	0.006515825354420089	22.055963862776217	0.01580455675724752	8.773873763887194	0.012986214067391512	19.134122817726773	0.023316681494973887	3.0946160419973143	0.008448309713854324
61	41093	1.4850643661937557	0.0024053743373449576	1.4960455552040492	0.005839934570151156	7.789623536855426	0.012626964370055898	4.205752804613924	0.00980280612681303	2.466673156011973	0.0074820512140554764	5.261626067700095	0.01090362795878192	1.8997882851093861	0.006550573188792438	22.387243569464385	0.01603424258541859	8.933979023191299	0.012965027825161164	19.203002944540433	0.02316679083061051	3.1485654491032538	0.008468735757357803
62	40531	1.5049159902297007	0.00243117244922429	1.5181466038341023	0.005921054408147901	7.928351138634626	0.012806176463244784	4.252596777775036	0.009882485472838124	2.515679356541906	0.007643641446963904	5.358515704029015	0.011051599275504097	1.950704399101922	0.006739583364540757	22.746021563741333	0.01613586417769337	9.046310231674521	0.013075341674598796	19.269941526239176	0.02344107709119496	3.1854876514273025	0.00861509281042576
63	40770	1.529261712043169	0.0024379414519057328	1.5459406426293842	0.005952055703411351	8.035933284277656	0.012843371411219067	4.337110620554329	0.009973055319052961	2.5553593328427766	0.007666492029703135	5.409713024282561	0.011125589715766703	1.9723571253372578	0.006728404578496885	23.096100073583518	0.01624753165977676	9.209835663478048	0.013203540051792131	19.383173902379202	0.023538242192915067	3.257934755948001	0.008645621703565845
64	40702	1.557810427006044	0.0024757087920383256	1.5736818829541546	0.006017330603452522	8.169549407891504	0.013053117796601387	4.397400619134195	0.010003191607498862	2.589504201267751	0.007727329949158775	5.491548326863545	0.01127825374828901	2.0093852881922265	0.006797105044967194	23.460051103139897	0.016358451800493296	9.333988501793524	0.013404755708559368	19.475259201022062	0.023629743641682178	3.3000098275269028	0.008749589513461052
65	40510	1.584078005430758	0.0025060867836556888	1.5951370032090841	0.0061008488358671896	8.263441125647988	0.013037711681686418	4.4632436435448035	0.01006822181397333	2.6294988891631697	0.007841531228398747	5.59037274746976	0.01132207943552881	2.0430510984941987	0.0068368338563891805	23.803826215749197	0.016663887362283327	9.488792890644286	0.013438000796273037	19.542088373241175	0.0238244087783031	3.3461861268822513	0.0088327404944012
66	40552	1.612645492207536	0.0025306316088411183	1.6127934503846912	0.006122366561584781	8.417833892286447	0.013190568595004028	4.526755770368909	0.01016592707977976	2.681224107318998	0.007871666425310434	5.680065101597949	0.011432559743030939	2.071710396527915	0.006894732261303757	24.145788123890313	0.01672643944573805	9.607614914184257	0.01357946505516772	19.583325113434604	0.023770469093537434	3.3900917340698364	0.008880577310577408
67	41072	1.636826791975068	0.0025267050182845655	1.6367841838722244	0.0061221003563744	8.527171795870666	0.013166199001948493	4.590329178028828	0.0101896162733251	2.697190299961044	0.00788621676313728	5.753579080638878	0.011450076690472911	2.0866283599532527	0.006871160143460741	24.493182703544996	0.016656316838835564	9.788103817686014	0.01347573197550095	19.67661667315933	0.023728432387976655	3.4516702376314763	0.008901797833094647
68	40746	1.6623594954105925	0.002569746823279407	1.670519805625092	0.006197193542066031	8.662396308840131	0.013357091126028817	4.649241643351495	0.010256707475415659	2.738428311981544	0.007938667877534554	5.847911451430815	0.011567425705254451	2.1287242919550384	0.007012562315112234	24.830020124674814	0.0168521127760613	9.915918126932706	0.013702113330059495	19.759191086241593	0.02375616221760841	3.5060128601580525	0.009022120565384416
