N	wl_v2inv	wl_v2inv_err	uf_v2inv	uf_v2inv_err
1	0.0	0.0	nan	nan
2	0.0	0.0	nan	nan
3	0.012071786227752714	0.000266827156231526	nan	nan
4	0.03100331980818886	0.0004086132802663092	nan	nan
5	0.05267819796766971	0.0005090755984106631	0.0525	0.0010268276388956425
6	0.07316877605901365	0.0005841214528005262	nan	nan
7	0.0963192762149602	0.0006532865018524201	nan	nan
8	0.12131090859697216	0.000718438776971994	nan	nan
9	0.14466140065948127	0.0007784045482343857	nan	nan
10	0.1654227017440142	0.0008290938581695271	0.16465	0.0016542483942866622
11	0.190081782012869	0.0008870676626979019	nan	nan
12	0.2157394843962008	0.0009396445495943744	nan	nan
13	0.23905667826387347	0.0009895443080335114	nan	nan
14	0.2645746798731782	0.0010305084792877686	nan	nan
15	0.2874309015641655	0.0010737687692868405	0.287275	0.0021703530674754283
16	0.31205756850751054	0.00112321030190309	nan	nan
17	0.3392162450132567	0.0011689871740855283	nan	nan
18	0.3633366645541852	0.0011908337772527319	nan	nan
19	0.38813947726991205	0.0012458875336328924	nan	nan
20	0.41385461572766463	0.0012830224031083976	0.411075	0.0025617102563521886
21	0.4415367760569693	0.0013316926438454418	nan	nan
22	0.46383928571428573	0.001354152936150554	nan	nan
23	0.49278197350501424	0.0013982443160369855	nan	nan
24	0.5165411212645098	0.0014274903374821085	nan	nan
25	0.5436816704422338	0.0014637663190173564	0.538375	0.0029562832979097235
26	0.5722793519272028	0.0014987652131099646	nan	nan
27	0.597055474416417	0.0015322514603944369	nan	nan
28	0.6194057226705796	0.0015547034006454202	nan	nan
29	0.645412631988711	0.001576786662707979	nan	nan
30	0.6700701193258704	0.0016296562534518961	0.673	0.003327476521329638
31	0.6959079473138967	0.001663500809168024	nan	nan
32	0.7258208117865158	0.0016888205966288658	nan	nan
33	0.750030625245002	0.0017033694027391586	nan	nan
34	0.7728190630048465	0.001736178108534883	nan	nan
35	0.7991880572156363	0.0017792699463325284	0.792525	0.003573833717102685
36	0.8265204692715492	0.0017994314197011688	nan	nan
37	0.8521131083934974	0.0018341197980539603	nan	nan
38	0.8792237611119297	0.0018532302681737722	nan	nan
39	0.9053432586887739	0.001873587730040895	nan	nan
40	0.9335438372321604	0.0019065258958146354	0.92735	0.003834833470960636
41	0.9545643814142601	0.0019387832193855043	nan	nan
42	0.983041910881134	0.0019611082019809142	nan	nan
43	1.0065419869899468	0.0019941695981887907	nan	nan
44	1.034645640347008	0.002008773417832599	nan	nan
45	1.059877143899769	0.0020329033174815874	1.054775	0.004065014752433257
46	1.0843333740681902	0.002059392885021645	nan	nan
47	1.1132523373587846	0.002080974167028669	nan	nan
48	1.1377965729349737	0.002100198413720443	nan	nan
49	1.1647770127247512	0.0021267177541074004	nan	nan
50	1.1892262823811974	0.0021515260455068925	1.188075	0.004368312538898743
51	1.2159460458240947	0.0021919303405093463	nan	nan
52	1.2447484662576687	0.002208333478308826	nan	nan
53	1.2686285826558932	0.0022366073845847263	nan	nan
54	1.296247914826808	0.0022605399267838205	nan	nan
55	1.3206355797650162	0.0022671276256408827	1.31865	0.00459170096478418
56	1.351330672803839	0.0023061140944594387	nan	nan
57	1.3776094110712707	0.002316801566437597	nan	nan
58	1.4033806394880188	0.0023435138320363025	nan	nan
59	1.4306361187292187	0.002352227309721321	nan	nan
60	1.4512696862409962	0.0023751846034002527	1.459775	0.004804822570865649
61	1.4850643661937557	0.0024053743373449576	nan	nan
62	1.5049159902297007	0.00243117244922429	nan	nan
63	1.529261712043169	0.0024379414519057328	nan	nan
64	1.557810427006044	0.0024757087920383256	nan	nan
65	1.584078005430758	0.0025060867836556888	1.5901	0.005091237472363664
66	1.612645492207536	0.0025306316088411183	nan	nan
67	1.636826791975068	0.0025267050182845655	nan	nan
68	1.6623594954105925	0.002569746823279407	nan	nan
69	1.6900565388397246	0.00258215410679384	nan	nan
70	1.7134687753646358	0.002593938171587052	1.712275	0.005214001096806562
71	1.743611668773391	0.002639897104512462	nan	nan
72	1.7668348281016442	0.0026610895228850427	nan	nan
73	1.7968058542856435	0.002657057863613352	nan	nan
74	1.8260385756676558	0.00267937309633427	nan	nan
75	1.8519226458795108	0.0027180424383073934	1.85135	0.005438434310534605
76	1.8771488729254397	0.0027451102606859588	nan	nan
77	1.9063205277646884	0.0027413867353036844	nan	nan
78	1.9283694216729375	0.0027627594968222223	nan	nan
79	1.9507686224111511	0.0027814497273403373	nan	nan
80	1.9888155596586656	0.0028117684906363623	1.978175	0.005671793537982497
81	2.0109698469846986	0.00284545583652066	nan	nan
82	2.035520118254247	0.002858840283149753	nan	nan
83	2.05968398963091	0.0028582078882319027	nan	nan
84	2.080588323502949	0.00289220250246523	nan	nan
85	2.1197223326048085	0.0029259185019110553	2.118175	0.005925292561342438
86	2.1415643300140843	0.002916872333219133	nan	nan
87	2.165599296402735	0.0029251449967733914	nan	nan
88	2.193393168785839	0.002953544217334445	nan	nan
89	2.2160170100919934	0.002958266362368626	nan	nan
90	2.239271821808181	0.0029891365085117465	2.25355	0.006000415798092652
91	2.2664607522079985	0.0030077568304484655	nan	nan
92	2.3014178658566946	0.003061253624160868	nan	nan
93	2.332972609896261	0.003043638053471179	nan	nan
94	2.353380998246524	0.0030497102460214573	nan	nan
95	2.3852783185077495	0.0030794738062889355	2.384425	0.006304749553907756
96	2.403584465247945	0.0031055177373845314	nan	nan
97	2.428563489515153	0.003105703238451777	nan	nan
