N	wl_1gons	wl_1gons_err	am_1gons	am_1gons_err	uf_1gons	uf_1gons_err	wl_2gons	wl_2gons_err	am_2gons	am_2gons_err	uf_2gons	uf_2gons_err	wl_3gons	wl_3gons_err	am_3gons	am_3gons_err	uf_3gons	uf_3gons_err	wl_4gons	wl_4gons_err	am_4gons	am_4gons_err	uf_4gons	uf_4gons_err	wl_5gons	wl_5gons_err	am_5gons	am_5gons_err	uf_5gons	uf_5gons_err	wl_6gons	wl_6gons_err	am_6gons	am_6gons_err	uf_6gons	uf_6gons_err	wl_7gons	wl_7gons_err	am_7gons	am_7gons_err	uf_7gons	uf_7gons_err	wl_8gons	wl_8gons_err	am_8gons	am_8gons_err	uf_8gons	uf_8gons_err	wl_9gons	wl_9gons_err	am_9gons	am_9gons_err	uf_9gons	uf_9gons_err	wl_maxfv	wl_maxfv_err	am_maxfv	am_maxfv_err	uf_maxfv	uf_maxfv_err
11	4.905250749054472	0.007195979663128876	nan	nan	nan	nan	1.8979075593103787	0.005963913578669044	nan	nan	nan	nan	1.7119455768947394	0.005881414991781011	nan	nan	nan	nan	1.108797092195098	0.005065503981106637	nan	nan	nan	nan	0.881502038410531	0.0044416960639874605	nan	nan	nan	nan	0.6547227270494621	0.0038590523947372906	nan	nan	nan	nan	0.49255857360381156	0.0033320227754739056	nan	nan	nan	nan	0.3723169114396581	0.002880411425774956	nan	nan	nan	nan	0.27471879758337836	0.002459474254890962	nan	nan	nan	nan	10.723905889287293	0.013705952695910194	nan	nan	nan	nan
12	5.260046873072653	0.007530863893897913	nan	nan	nan	nan	2.0304428271863824	0.0062037388380896865	nan	nan	nan	nan	1.8157641544344394	0.006150420469388691	nan	nan	nan	nan	1.1992845688910818	0.005272708016863178	nan	nan	nan	nan	0.9572468237325767	0.004655054405881007	nan	nan	nan	nan	0.699296903910201	0.003976373208097141	nan	nan	nan	nan	0.5374861231034909	0.003508422045982199	nan	nan	nan	nan	0.40007401011471566	0.0029897602728337597	nan	nan	nan	nan	0.3048229924756383	0.002616374401449203	nan	nan	nan	nan	11.136227951153325	0.014329953289042354	nan	nan	nan	nan
13	5.608236484319096	0.007824824228407485	nan	nan	nan	nan	2.177165840057246	0.006397606952788178	nan	nan	nan	nan	1.941693192192859	0.006309216267902015	nan	nan	nan	nan	1.2755446985959977	0.005479496139995093	nan	nan	nan	nan	1.0118686307893503	0.004783197117384715	nan	nan	nan	nan	0.748143213166531	0.00414305578097223	nan	nan	nan	nan	0.5797369654798036	0.003605246420807158	nan	nan	nan	nan	0.4298615737656377	0.0031301539923720752	nan	nan	nan	nan	0.3298788462012979	0.002719713288875782	nan	nan	nan	nan	11.536777950502135	0.014942382206409421	nan	nan	nan	nan
14	5.953326615380834	0.008069196245053584	nan	nan	nan	nan	2.315702804335537	0.0066382923737191655	nan	nan	nan	nan	2.0611005972423624	0.006522363454308798	nan	nan	nan	nan	1.3637525499545309	0.0056428821808087015	nan	nan	nan	nan	1.097942831862757	0.0049549080001684166	nan	nan	nan	nan	0.7890726767763659	0.0042552970232021155	nan	nan	nan	nan	0.6181089782977364	0.0037424749953682084	nan	nan	nan	nan	0.45999950844250004	0.0032439675317777997	nan	nan	nan	nan	0.3488337798313958	0.002805971304948982	nan	nan	nan	nan	11.935802590508025	0.015576873085973624	nan	nan	nan	nan
15	6.2869537195409135	0.008319111743902098	5.8792	0.016586763879672256	6.2862	0.016776440504469373	2.453384893780521	0.006817813994398836	2.925	0.015536972034473129	2.4487	0.013682720160845208	2.1841798666369203	0.006695124794539677	2.1597	0.013488498470919586	2.1986	0.013660739511461305	1.4495426489179744	0.0058206717843514106	1.4981	0.011737105222328036	1.4543	0.011745260788930997	1.1612503408443022	0.0051327567072781	1.12	0.010326664514740468	1.1478	0.010394975517046687	0.8546392008130685	0.004437214940309754	0.8462	0.0088811348373955	0.8469	0.008853589046256891	0.6649066706328549	0.003881166526144118	0.645	0.00767447066578536	0.6587	0.007779552107930122	0.49133635755187033	0.0033581312648441673	0.4865	0.006711316934849673	0.4984	0.006841033839998162	0.37567239285094567	0.0029258709150973543	0.3681	0.005787939097813659	0.3861	0.005919685718009022	12.232517785875412	0.01595695809240107	12.1666	0.030989424712311142	12.2185	0.0324267755874678
16	6.667266852477616	0.00854545568831655	nan	nan	nan	nan	2.589201588436968	0.00701303067960947	nan	nan	nan	nan	2.31297634610167	0.006895653056248116	nan	nan	nan	nan	1.5189305182152282	0.005903855744584388	nan	nan	nan	nan	1.2094566262980047	0.005206471844681282	nan	nan	nan	nan	0.8928298349900106	0.004524922508748116	nan	nan	nan	nan	0.6956317983375675	0.0040051935437790025	nan	nan	nan	nan	0.5239868781293935	0.0034624859223629577	nan	nan	nan	nan	0.4026835705300545	0.0030163988683767477	nan	nan	nan	nan	12.623806822386108	0.01651852626543701	nan	nan	nan	nan
17	6.9931610377381865	0.008820926052869958	nan	nan	nan	nan	2.7359070297593973	0.00718506707306401	nan	nan	nan	nan	2.424536016056694	0.007097720521242392	nan	nan	nan	nan	1.624055306390465	0.0061400650865495	nan	nan	nan	nan	1.283395693436083	0.005426047583155309	nan	nan	nan	nan	0.9479148598756102	0.004663726719825219	nan	nan	nan	nan	0.730728250365488	0.004083989079866181	nan	nan	nan	nan	0.5553187798894863	0.0035607258129899707	nan	nan	nan	nan	0.42532893921748394	0.0031048034715963403	nan	nan	nan	nan	12.878980102584434	0.01684558900769881	nan	nan	nan	nan
18	7.34219763077073	0.008929455769683545	nan	nan	nan	nan	2.8648418076341833	0.007325892646944724	nan	nan	nan	nan	2.5503826841515136	0.007202506507263693	nan	nan	nan	nan	1.7106712816262857	0.006251059741360945	nan	nan	nan	nan	1.3469750889679715	0.005482962374762457	nan	nan	nan	nan	1.001706235070443	0.004784534116455845	nan	nan	nan	nan	0.7784331887095988	0.004178975804176647	nan	nan	nan	nan	0.5841417637595671	0.0036301286173505173	nan	nan	nan	nan	0.4513479257056501	0.003204463248163667	nan	nan	nan	nan	13.160434846195097	0.01709352226808971	nan	nan	nan	nan
19	7.676402824228911	0.009184323044632533	nan	nan	nan	nan	3.0199677938808374	0.007530050766517121	nan	nan	nan	nan	2.6722655766134027	0.00747620642170903	nan	nan	nan	nan	1.7871918741483959	0.0064834856979793035	nan	nan	nan	nan	1.4102564102564104	0.005657586045039696	nan	nan	nan	nan	1.0592097113836245	0.004953455090854651	nan	nan	nan	nan	0.8169205995292952	0.004334592703242753	nan	nan	nan	nan	0.6227177009785706	0.0037993374254380987	nan	nan	nan	nan	0.47263718568066393	0.003286169961588774	nan	nan	nan	nan	13.41112349808002	0.01749679252896739	nan	nan	nan	nan
20	8.040681829443535	0.009459975224573262	7.5247	0.01905515654619504	8.0557	0.018972605277083048	3.1525196967444624	0.007725081944689142	3.7592	0.017796110136768656	3.1386	0.01548931902957648	2.788662603438878	0.007608758046150766	2.7452	0.015280958608673735	2.7912	0.015350578360439715	1.866532877458996	0.006560484702668289	1.9307	0.013346525802619944	1.8749	0.013401678961980848	1.4871413705961052	0.005807890069128492	1.455	0.011671225299856052	1.478	0.011663258549822173	1.0983598434170754	0.005057143262109574	1.0702	0.009976331790793647	1.0952	0.010102162936718057	0.8572915118180466	0.004433964644340254	0.8355	0.008821789784391828	0.8562	0.00894942210424785	0.6505128586294039	0.0038686833309185403	0.642	0.007689187213223515	0.6423	0.00768993309463743	0.4949457410435558	0.003373099178332383	0.4968	0.0068013951509965954	0.5019	0.00685125090768102	13.677642336851495	0.017922374739599085	13.6322	0.0350578424321863	13.6749	0.03561826777090658
